empresa,nota,avaliacoes
 thyssenkrupp ,"3,5"," 1,4k"
 Grupo CCR ,"3,6", 266
 Ogilvy ,"3,4"," 2,3k"
 CEVA Logistics ,"3,2"," 1,1k"
 Even Construtora e Incorporadora ,"3,6", 182
 Intervalor ,"3,4", 165
 Tech Mahindra ,"3,8", 13k
 Souza Cruz ,"4,3", 801
 Radio and Television Record ,"3,5", 292
 Beneficência Portuguesa de São Paulo ,"3,7", 184
 Eli Lilly and Company ,"3,8"," 2,0k"
 PageGroup ,"3,9"," 1,7k"
 DXC Technology ,"2,8"," 7,2k"
 Herbalife ,"3,9"," 1,1k"
 Tok & Stok ,"3,5", 245
" ""Centro Paula Souza (ETEC, FATEC, SDECTI)"" ","3,8", 189
 Defensoria Pública do Estado de São Paulo ,"4,1", 177
 SEBRAE ,"4,0", 692
 Pfizer ,"3,9"," 3,7k"
 Tetra Pak ,"3,9", 688
 Icomon Tecnologia ,"3,4", 159
 Dell Technologies ,"4,0", 15k
 MetLife ,"4,4"," 3,7k"
 Crefisa ,"3,1", 280
 Unidas ,"3,7", 239
 GRU Airport - Aeroporto International de São Paulo ,"3,9", 153
 NIKE ,"3,9"," 5,0k"
 SGS ,"3,1"," 1,2k"
 Grupo MRV ,"3,7", 898
 Brazilian Air Force ,"3,9", 505
 Livraria Cultura ,"3,1", 208
 C&C Casa e Construção ,"3,3", 200
 Grupo Flytour ,"3,4", 172
 Magneti Marelli ,"3,3", 658
 Cacau Show ,"3,5", 179
 J.P. Morgan ,"3,9", 19k
 Prefeitura Municipal de Campinas ,"3,6", 153
 Boa Vista Serviços ,"3,6", 152
 Tempo Assist ,"3,5", 134
 Daitan Group ,"4,3", 153
 Drogaria Onofre ,"3,7", 153
 BK Consultoria e Serviços ,"3,4", 137
 Wipro ,"3,5", 22k
 Fedex Express ,"3,7"," 2,6k"
 Zurich Insurance Group ,"3,5", 960
 Instituto do Câncer do Estado de São Paulo ,"3,6", 146
 Keyrus Group ,"4,0", 368
 Nexa Resources ,"4,2", 240
 Concrete Solutions ,"3,8", 207
 Oxiteno ,"3,9", 201
 Lenovo ,"3,6"," 1,7k"
 Philip Morris International ,"3,8"," 1,7k"
 Banco Original ,"3,9", 151
 Motorola Solutions ,"3,7"," 2,2k"
 Diebold Nixdorf ,"3,2"," 1,4k"
 Mazars ,"3,5"," 1,1k"
 Fundação Getulio Vargas ,"3,7", 387
 Fundação Faculdade de Medicina (FFM) ,"3,7", 149
 Marketdata ,"4,0", 147
 Federação das Unimeds do Estado de São Paulo (FESP) ,"4,2", 143
 Kantar Media ,"3,2", 348
 Associação Saúde da Família (ASF) ,"4,0", 144
 Cosin Consulting ,"4,2", 130
 Aon ,"3,5"," 3,1k"
 Hospital Samaritano ,"4,0", 169
 E.life Group ,"3,5", 143
 Senior Solution ,"3,3", 182
 Restoque ,"3,5", 152
 Magna Sistemas ,"3,0", 135
 Oi ,"3,8"," 1,1k"
 Schindler ,"3,6", 514
 Vigor Alimentos ,"3,4", 165
 Bluesoft ,"4,7", 114
 Nelson Wilians & Advogados Associados ,"2,7", 209
 Gocil Segurança e Serviços ,"3,3", 168
 Movile ,"4,3", 130
 Dextra ,"4,6", 126
 Unisys ,"3,2"," 2,8k"
 Prosegur ,"3,7", 577
 Votorantim ,"4,1", 277
 Empiricus Research ,"4,6", 121
 ZF Group ,"3,7", 983
 Drogarias DPSP ,"3,5", 173
 Kalunga ,"3,6", 164
 Hospital e Maternidade ,"3,3", 132
 Printi ,"3,7", 116
 Ipsos ,"3,2"," 1,8k"
 FAPESP ,"4,3", 166
 Elektro Eletricidade e Serviços ,"4,2", 141
 Louis Dreyfus Company ,"3,6", 442
 Lopes Consultoria de Imóveis ,"3,5", 150
 Editora Globo ,"3,2", 147
 Decolar ,"3,8", 139
 ADM ,"3,9"," 1,2k"
 Companhia Siderúrgica Nacional ,"3,6", 718
 ManpowerGroup ,"3,5", 900
 Tokio Marine Holdings ,"4,1", 178
 Colégio Objetivo ,"3,3", 171
 Jüssi ,"3,8", 119
 Cinemark ,"3,3"," 1,4k"
 São Paulo Alpargatas ,"3,6", 309
 Rappi ,"3,6", 256
 OKI ,"3,0", 236
 Embracon ,"3,6", 215
 Voxline ,"2,9", 125
 Yázigi ,"3,6", 218
 Grupo GPS ,"3,4", 203
 Bain & Company ,"4,6"," 2,8k"
 Groupe PSA ,"3,6", 857
 Abbott ,"3,6", 643
 Pandurata Alimentos (Bauducco) ,"3,9", 135
 Telhanorte ,"3,2", 134
 Fundação do ABC ,"3,4", 126
 Butantan Institute ,"3,5", 117
 Conduent ,"2,7"," 2,8k"
 Construtora OAS ,"4,1", 191
 Ypê (Química Amparo) ,"3,3", 165
 AGV Logística ,"3,5", 127
 Infracommerce ,"3,4", 126
 Mattos Filho ,"3,7", 151
 G&P Projetos e Sistemas ,"3,0", 138
 Allianz ,"3,7"," 1,8k"
 Pernod Ricard ,"4,0", 601
 Certisign Certificadora Digital ,"3,4", 134
 Matera Systems ,"3,4", 131
 Hospital Alemão Oswaldo Cruz ,"3,6", 116
 Amcham Brasil ,"3,4", 202
 Bandeirantes Communication Group ,"3,3", 155
 CBRE ,"3,6"," 3,8k"
 Vivara ,"3,2", 164
 Dotz ,"3,4", 126
 BSI Tecnologia ,"2,5", 126
 Folha de São Paulo ,"3,4", 119
 Amazon ,"3,8", 36k
 Atlas Copco ,"3,9", 655
 Adtalem Educacional do Brasil ,"3,8", 280
 MJV Tecnologia e Inovação ,"3,3", 232
 Universidade Federal de Sao Paulo ,"3,9", 128
 John Deere ,"4,1"," 2,3k"
 Diageo ,"3,9"," 1,4k"
 Empresas Concremat ,"3,5", 277
 Dia Group ,"3,3", 249
 Grupo Caoa ,"3,4", 227
 Valid ,"3,8", 165
 Ecolab ,"3,4"," 1,8k"
 Panco ,"3,8", 130
 Brasilprev Seguros e Previdência ,"3,6", 110
 UFABC ,"4,0", 110
 CNH Industrial ,"3,5"," 1,2k"
 Bureau Veritas ,"3,2", 903
 Camargo Corrêa ,"3,6", 192
 Venturus Centro de Inovação Tecnológica ,"4,1", 112
 Sage ,"3,5"," 2,1k"
 TMF Group ,"2,9", 422
 Voith ,"3,8", 352
 Multilaser ,"3,6", 113
 Quero Educação ,"4,4", 109
 L'Oréal ,"4,0"," 4,5k"
 ArcelorMittal ,"3,9"," 1,1k"
 Wunderman ,"3,5", 797
 Interfile ,"3,1", 158
 Grupo Libra (Brazil) ,"4,3", 147
 CargoX ,"3,8", 109
 Google ,"4,4", 12k
 GE Healthcare ,"3,6"," 3,0k"
 Estapar Estacionamentos ,"3,2", 152
 Biolab Sanus Farmacêutica ,"3,7", 116
 Synchro Sistemas de Informação ,"3,7", 97
 Metso ,"3,8", 340
 Arcadis Brasil ,"3,6", 120
 Padtec ,"3,8", 98
 Privalia ,"3,8", 144
 Liberty Mutual Insurance ,"3,3"," 4,6k"
 Emerson ,"3,6"," 2,9k"
 MAHLE International ,"3,5", 489
 Smart Fit ,"3,4", 153
 Petz ,"3,5", 132
 Grupo Ideal Trends ,"3,4", 104
 APS Santa Marcelina ,"3,7", 97
 Altran Group ,"3,4"," 1,9k"
 CNPq ,"3,9", 358
 Marfrig ,"3,7", 239
 Distribuidora SantaCruz ,"3,1", 196
 Affero ,"3,7", 160
 BNP Paribas ,"3,5"," 4,3k"
 Lojas CEM ,"3,7", 281
 Messer Gases Brasil ,"4,3", 133
 Odontoprev ,"3,5", 106
 Intermédica ,"3,5", 99
 IPT Instituto de Pesquisas Tecnológicas ,"3,7", 95
 McKinsey & Company ,"4,4"," 3,8k"
 AstraZeneca ,"3,8"," 2,8k"
 Libbs Farmaceutica ,"3,9", 226
 Maple Bear India ,"3,6", 155
 PDG ,"3,6", 153
 Grupo Brasanitas ,"3,7", 147
 ETNA ,"3,0", 131
 Medley (Brazil) ,"3,9", 108
 Tibério ,"2,8", 103
 Pontifícia Universidade Católica de Campinas (PUC-Campinas) ,"3,8", 100
 GreenLine (Brazil) ,"3,0", 97
 Astra (Brazil) ,"3,9", 97
 Iteris Consultoria e Software ,"4,4", 96
 Subway ,"3,2"," 7,4k"
 Movida Aluguel de Carros ,"3,1", 147
 IT2B ,"2,9", 109
 Caedu ,"3,8", 107
 FS ,"4,2", 97
 Parla Contact Center ,"3,4", 97
 JLL ,"3,7"," 3,3k"
 Prefeitura Municipal de Guarulhos ,"3,4", 96
 Elo7 ,"4,4", 92
 Grupo Petrópolis ,"4,1", 816
 Wiz Soluções ,"4,0", 356
 Clariant ,"3,7", 227
 Tecnisa ,"3,8", 110
 Guiabolso ,"4,1", 99
 Digisystem ,"3,3", 96
 Grupo New Space ,"2,8", 94
 Beleza na Web ,"3,7", 93
 Multiplus (Brazil) ,"3,9", 92
 Prefeitura São José dos Campos ,"3,8", 91
 Buscapé ,"4,1", 139
 Hospital Salvalus ,"3,1", 107
 International Paper ,"3,6"," 1,2k"
 Seara Alimentos ,"3,5", 265
 Braspress ,"3,4", 147
 Honeywell ,"3,9"," 8,0k"
 Kraft Heinz Company ,"3,2"," 3,6k"
 Cast Group ,"3,4", 320
 Besni ,"3,8", 88
 Forever 21 ,"2,8"," 5,4k"
 Sapore ,"3,1", 191
 Dia Brasil ,"3,1", 118
 TecBan ,"4,1", 111
 Coop Cooperativa de Consumo ,"3,6", 107
 DOC88 ,"4,8", 82
 Seconci Hospital Estadual da Vila Alpina ,"3,6", 92
 Faculdades Metropolitanas Unidas ,"3,5", 89
 Citi ,"3,6", 15k
 adidas ,"3,8"," 2,4k"
 Localiza ,"4,0", 547
 Ajinomoto ,"3,3", 246
 Iguatemi Empresa de Shopping Centers ,"3,4", 134
 Companhia Brasileira de Alumínio ,"3,9", 107
 IMCMV Holdings ,"3,0", 106
 Hospital das Clínicas ,"3,7", 101
 Mobly ,"3,7", 86
 Laureate Education ,"3,3", 795
 Grupo Arcor ,"3,6", 261
 Cobasi ,"3,8", 110
 Prudential ,"3,6"," 2,7k"
 Kühne + Nagel ,"3,4", 919
 Tenda ,"3,5", 164
 ID Logistics ,"3,4", 152
 Prefeitura Municipal de Barueri ,"3,5", 86
 Webmotors ,"4,0", 85
 Softtek ,"3,7", 859
 Pubicis Worldwide ,"4,2", 96
 AlmapBBDO ,"4,2", 87
 Credit Cash ,"3,5", 86
 Centro de Estudos e Pesquisas Dr. João Amorim (CEJAM) ,"3,9", 96
 BT ,"3,6"," 3,6k"
 Parker Hannifin ,"3,3"," 1,4k"
 Havas Worldwide ,"3,3", 659
 Verisure ,"3,5", 324
 Centro de Diagnósticos Brasil (CDB) ,"3,0", 94
 Hospital Sepaco ,"3,8", 94
 Prefeitura Municipal de Osasco ,"3,3", 88
 Associação Fundo de Incentivo à Pesquisa (AFIP) ,"3,5", 85
 Atech ,"3,6", 80
 Hamburg Süd ,"3,5", 191
 Faurecia ,"3,4"," 1,3k"
 Iron Mountain Inc ,"3,0"," 1,3k"
 BrMalls ,"3,8", 411
 CAPES ,"3,7", 308
 DPaschoal ,"3,6", 128
 Cteep ,"3,9", 100
 Grupo Educacional ETAPA ,"3,5", 89
 Sherwin-Williams ,"3,6"," 3,8k"
 Fisk Brasil ,"3,7", 197
 Lorenzetti ,"4,0", 107
 Santher ,"3,7", 98
 Marjan Farma ,"3,2", 94
 Alphaville Urbanismo ,"3,8", 89
 Dm9 ,"2,9", 85
 F.biz ,"4,1", 77
 St. Marche ,"3,3", 82
 CGI ,"3,5"," 6,9k"
 Pizza Hut ,"3,2"," 5,5k"
 Mastercard ,"4,0"," 1,9k"
 Sony ,"3,6"," 1,7k"
 Irmandade da Santa Casa de Misericórdia de São Paulo ,"3,3", 92
 Total Express ,"3,4", 86
 CNPEM ,"3,5", 78
 FTD Educação ,"3,4", 78
 Sem Parar ,"3,9", 111
 Air Liquide ,"3,5"," 1,1k"
 Management Solutions ,"3,5", 322
 Rossi Residencial ,"3,6", 122
 Proxxi Tecnologia ,"3,0", 118
 AIG ,"3,1"," 4,4k"
 Baxter ,"3,4"," 1,9k"
 Siqueira Castro - Advogados ,"3,2", 181
 Bombril ,"3,3", 94
 Eduzz ,"4,1", 77
 Call Tecnologia ,"3,6", 163
 Evino ,"4,0", 89
 Willis Towers Watson ,"3,5"," 3,0k"
 Randstad ,"4,0"," 2,7k"
 Serviço Nacional de Aprendizagem Industrial (SENAI) ,"4,0", 520
 NEC (Japan) ,"3,4", 484
" ""Grupo Máquina de Vendas (Insinuante, Ricardo Eletro, CityLar, Eletroshopping, Salfer)"" ","3,3", 359
 Scopus Soluções ,"3,3", 161
 ESPRO ,"4,0", 115
 Nadir Figueiredo ,"4,0", 87
 Hospital IGESP ,"3,1", 79
 Prefeitura Municipal de Praia Grande ,"3,6", 77
 Motiva Contact Center ,"2,7", 76
 SPC Brasil ,"3,9", 75
 7comm ,"3,9", 75
 Atlas Quantum - AtlasProject ,"4,1", 74
 Função Informática ,"3,8", 83
 Edelman ,"3,2"," 2,1k"
 TNT Express ,"3,5", 471
 Cultura Inglesa ,"3,7", 328
 MSX International ,"3,5", 322
 tng ,"3,1", 160
 Nivea ,"3,8", 129
 Microcamp Tecnologia ,"3,0", 126
 Shoulder ,"3,6", 105
 Universidade Metodista de São Paulo ,"3,0", 87
 C6 Bank ,"4,4", 81
 Hospital Beneficência Portuguesa ,"3,5", 87
 Würth ,"3,3", 427
 Aurora (Brazil) ,"4,3", 383
 Itautec ,"3,6", 111
 Orizon ,"3,8", 85
 Pandora Jewelry ,"3,4"," 1,2k"
 GetNet ,"3,7", 267
 O Boticário ,"4,1", 258
 Santos Brasil ,"3,6", 82
 Hospital 9 De Julho ,"4,0", 78
 InstaCarro ,"3,2", 69
