empresa,nota,avaliacoes
 Brasilgráfica ,"3,0", 7
 SIS - Soluções Integradas em Serviços ,"2,7", 7
 Delboni Medicina Diagnóstica ,"2,4", 7
 Auto Sueco São Paulo ,"3,0", 7
 Power Segurança ,"4,3", 7
 Mercy Alliance ,"3,9", 7
 R.E.F. Comunicação ,"2,5", 7
 Ortosintese ,"2,6", 7
 Advocacia Sandoval Filho ,"2,1", 7
 Comercial Aste Importação ,"2,5", 7
 Grupo Droid ,"2,3", 7
 Converge Comunicações ,"3,5", 7
 Alpes CCTVM ,"3,0", 7
 Ondina Alimentação ,"3,1", 7
 Mttechne Consultoria ,"4,5", 7
 Agência FG ,"4,0", 7
 Grupo Deny ,"3,0", 7
 REF+T ,"3,2", 7
 Advanced Technologies Desenvolvimento de Sistemas ,"3,0", 7
 Associação Brasileira de Startups ,"4,7", 7
 Innovamed ,"3,1", 7
 Dále Ideiaz ,"4,0", 7
 Staybridge Suites São Paulo ,"4,3", 7
 ESPN do Brasil ,"3,7", 7
 LocawebCorp ,"3,6", 7
 Nakata Automotiva ,"4,1", 7
 Mr. Bey ,"2,9", 7
 IT Green ,"3,5", 7
 Rebel ,"5,0", 7
 Sekurit ,"3,0", 7
 Compugraf ,"3,8", 7
 Federação Brasileira de Bancos ,"4,4", 7
 Incube ,"3,3", 7
 EvoluServices International Group ,"3,8", 7
 Proativa Recursos Humanos ,"3,9", 7
 Think4 ,"4,0", 7
 Nethus Integradora de Soluções ,"3,2", 7
 KTY Engenharia ,"3,5", 7
 Case Imagine ,"4,4", 7
 Plus-IT ,"3,3", 25
 SPI Integradora ,"3,3", 21
 Hospital Albert Sabin ,"3,3", 31
 Arconic ,"2,9", 390
 Submarino Viagens ,"3,0", 13
 Supermercados Tauste ,"2,8", 27
 Gráfica Gonçalves ,"3,1", 13
 Líquido ,"3,0", 13
 Icts ,"3,9", 11
 Mãe Terra Produtos Naturais e Orgânicos ,"3,5", 10
 Zenatur Logistica e Transpote ,"3,1", 8
 Fibrax Telecom ,"3,0", 8
 ScanSource ,"3,6", 209
 FCA Brasil ,"3,8", 70
 Apex America ,"3,9", 56
 JAS Worldwide ,"3,3", 41
 Speedo ,"3,8", 34
 Victor Hugo ,"3,9", 19
" ""Consultoria, Planejamento e Estudos Ambientais - CPEA"" ","3,8", 11
 Madel ,"3,0", 10
 Grupo Mury ,"2,6", 9
 Consulfarma ,"3,0", 9
 Trail Infraestrutura ,"3,1", 8
 Requestia Software ,"2,9", 8
 Desenvolvimento de Sistemas Fiscais (DSF) ,"2,2", 7
 DaVita ,"3,3"," 2,8k"
 Citrix ,"3,7"," 2,7k"
 BlackBerry ,"3,3"," 2,4k"
 Airbus ,"4,0"," 1,9k"
 Sabre ,"3,3"," 1,5k"
 HERE Technologies ,"3,7"," 1,3k"
 Arvato ,"2,8"," 1,1k"
 Williams Lea Tag ,"2,7", 931
 Elsevier ,"3,5", 870
 Marsh ,"3,5", 722
 DNV GL ,"3,4", 674
 S&P Global Ratings ,"3,1", 663
 Flowserve ,"3,5", 627
 FleishmanHillard ,"3,5", 614
 Tetra Tech ,"4,0", 604
 ARRIS ,"3,4", 597
 Twentieth Century Fox ,"3,9", 583
 Varian Medical Systems ,"3,7", 531
 Hanesbrands ,"2,9", 460
 Hugo Boss ,"3,2", 458
 Reebok ,"3,5", 440
 Alstom Power ,"3,9", 418
 FM Global ,"3,2", 406
 Vallourec ,"3,8", 399
 Berry Global ,"2,9", 379
 Foxconn ,"3,3", 351
 Yum! ,"3,7", 351
 UTi Worldwide ,"3,0", 351
 Elekta ,"3,2", 315
 Reed Exhibitions ,"2,6", 264
 Eletrobrás ,"4,2", 260
 OSIsoft ,"3,8", 230
 Cooper Standard ,"3,4", 228
 John Crane ,"2,8", 215
 Arkema ,"3,9", 210
 Sharecare ,"3,2", 208
 IFS ,"4,3", 188
 KIKO ,"2,4", 178
 Epson ,"3,4", 164
 SICPA ,"3,6", 162
 Monitor Group ,"4,1", 155
 D-Link ,"3,2", 145
 Tribunal de Justiça do Estado do Paraná ,"4,4", 144
 Noble Group Limited ,"3,3", 141
 ContaAzul ,"4,4", 131
 Cellairis ,"4,2", 130
 LEO Pharma ,"3,0", 120
 Solenis ,"3,2", 119
 NYK Line ,"3,4", 113
 Southco ,"3,1", 109
 Enactus ,"4,2", 103
 GL events ,"3,1", 102
 Claranet ,"3,4", 102
 Teknisa ,"3,2", 100
 Ilegra ,"4,0", 91
 Grupo ThyssenKrupp ,"3,4", 87
 Sumitomo Rubber do Brasil ,"3,4", 86
 Clarion Events ,"2,8", 84
 HRS - Das Hotelportal ,"2,9", 82
 A. Schulman ,"3,5", 81
 Yes! Idiomas ,"2,9", 76
 Actemium ,"3,2", 75
 Ceragon Networks ,"3,4", 75
 Helibras ,"4,0", 73
 MTU ,"3,4", 73
 Neodent ,"3,2", 72
 SMS InfoComm ,"3,2", 68
 Instituto das Cidades Inteligentes ,"3,8", 61
 DeLaval ,"3,6", 61
 Grupo Livrarias Curitiba ,"4,0", 57
 Siegwerk ,"3,6", 57
 Esporte Interativo ,"3,0", 56
 Ferreira e Chagas Advogados ,"2,8", 55
 Hospital São Rafael ,"4,0", 55
 Attps Informática ,"3,4", 55
 Makita ,"3,6", 53
 Instituto Mix de Profissões ,"3,3", 53
 Ramos e Silva ,"3,3", 51
 Santa Helena ,"3,9", 51
 Mangels ,"3,3", 49
 Tribanco ,"3,8", 49
 Heatcraft Refrigeration Products ,"2,8", 47
 Kinoplex ,"3,8", 46
 EPI-USE ,"3,7", 43
 Flash Global ,"2,7", 43
 Granol ,"3,9", 42
 Companhia Nacional de Abastecimento (Conab) ,"3,9", 41
 Reichhold ,"3,2", 40
 Horiba Instruments ,"3,3", 38
 Roff Consulting ,"4,1", 38
 BIOTRONIK International ,"3,6", 38
" ""Toniolo, Busnello"" ","3,9", 38
 Monsanto ,"4,6", 37
 BS Tecnologia ,"3,5", 35
 RM Soluções em Infraestrutura ,"3,1", 34
 Teadit ,"3,5", 33
 EDICOM ,"3,2", 33
 G&P ,"3,5", 32
 Weleda ,"3,1", 32
 TECHO ,"3,6", 32
 Eppendorf ,"3,5", 31
 Força Aérea Brasileira ,"4,1", 30
 Global Logistic Properties ,"3,3", 29
 Seco Tools ,"3,8", 28
 Gerencial Brasil ,"3,6", 28
 Amara Brasil ,"3,3", 27
 GAC Group ,"4,0", 27
 Comstor ,"3,8", 27
 Pellegrino ,"3,9", 26
 Multiplan Empreendimentos ,"4,0", 25
 Grupo Brugnara ,"4,3", 25
 Honda Lock ,"3,1", 24
 Lan Designers ,"3,2", 24
 Cybelar ,"3,4", 24
 Nobile Hotéis ,"3,2", 24
 SK Automotive ,"3,5", 23
 Coco Bambu Restaurant ,"3,0", 23
 Pontomobi ,"3,4", 23
 Brazilian Society of Mining and Metallurgy ,"4,4", 23
 ITS Group (Brazil) ,"3,3", 22
 Potencial ,"3,6", 22
 Instituto Brasileiro de Coaching (IBC) ,"3,1", 22
 Hospital Santa Joana de Recife ,"3,7", 21
 Boston Medical Group ,"2,9", 20
 Codeminer42 ,"4,2", 20
 Sodebo ,"4,1", 20
 Evolute Cursos ,"2,5", 20
 Cmartins Advogados Associados ,"2,6", 19
 Delta Greentech ,"3,3", 19
 Tel Centro de Contatos ,"2,5", 19
 Tátil Design ,"3,4", 19
 5àsec ,"3,3", 18
 Rapidão Cometa ,"3,1", 18
 Odebrecht Engenharia ,"4,3", 17
 Politec Brasil ,"3,5", 17
 GOintegro ,"4,3", 17
 Schlemmer ,"2,9", 17
 Firestone Polymers ,"3,5", 16
 Auto Viação Ouro Verde ,"3,9", 16
 Dafra Motos ,"4,1", 16
 Instituto Odeon ,"3,5", 16
 Engeset Engenharia de Telecomunicações ,"3,2", 15
 Federal Invest ,"3,3", 15
 Restorando ,"3,8", 15
 Warm Brasil ,"2,6", 14
 Alljob Empreendimentos ,"4,0", 14
 PRONEP ,"3,6", 14
 MR Consultoria ,"3,7", 14
 SIEG Soluções Inteligentes ,"4,4", 14
 Corretor de Imóveis Autônomo ,"4,1", 13
 Faculdade de Tecnologia (Fatec) ,"3,6", 13
 Gocil ,"3,2", 13
 WCA Brasil ,"3,9", 13
 Lumini Brasil ,"3,4", 13
 Direct ,"3,0", 13
 Lance ,"3,4", 13
 Hotelaria Brasil ,"3,4", 13
 Banif ,"3,2", 13
 CETIP ,"3,7", 13
 Vocalcom ,"4,0", 12
 Information Planet ,"3,3", 12
 Contracta Engenharia ,"3,8", 12
 Sinco Engenharia ,"3,5", 12
 BrBPO ,"4,1", 12
 Fess'Kobbi ,"2,8", 12
 Linksearch ,"2,3", 12
 Continental do Brasil Produtos Automotivos ,"4,1", 12
 Designer ,"4,0", 12
 Sodie Doces ,"4,1", 12
 Action BR Merchandising ,"2,8", 12
 Adezan ,"3,7", 12
 Clube Paineiras do Morumby ,"3,5", 12
 Farmoterápica ,"2,1", 12
" Consultoria, Métodos, Assessoria e Mercantil ","3,5", 12
 Qualieng Engenharia ,"4,1", 11
 Sansim Serviços Médicos ,"2,7", 11
 Risso Transportes ,"3,0", 11
 Instituto da Oportunidade Social - IOS ,"4,0", 11
 Terwan ,"3,7", 11
 Legrand Pharma ,"3,5", 11
 Runner ,"3,5", 11
 Lapônia Concessionária Volvo ,"3,3", 11
 Colegio Dom Bosco ,"4,3", 11
 Suprimed ,"3,9", 11
 Rocabella Têxtil ,"2,9", 11
 Eletromidia ,"3,6", 11
 Kitchens (Brazil) ,"2,7", 11
 Instituto Florestal ,"3,8", 11
 Biolab (Brazil) ,"3,8", 11
 Prolind ,"3,6", 11
 RB Capital ,"3,6", 10
 Almawave ,"3,6", 10
 Cimcorp ,"2,7", 10
 ISAT ,"3,7", 10
 Omnisys Brasil ,"3,5", 10
 Sistema PRI ,"4,1", 10
 MT4 Networks ,"4,1", 10
 Easycomp ,"3,1", 10
 GENPRO Engenharia ,"4,0", 10
 MCAA Arquitetos ,"3,2", 10
 Habitacional Empreendimentos ,"3,7", 10
 Alibra Ingredientes ,"4,4", 10
 Hyster Yale ,"3,9", 10
 Cipolatti ,"3,5", 10
 Golden Cargo ,"3,1", 10
 SPOT ,"3,9", 10
 Costa Pereira e Di Pietro Advogados ,"2,9", 10
 Tuberfil ,"3,8", 10
 Grupo Educacional Drummond ,"3,2", 10
 Schwaben Engineering ,"3,5", 10
 Grupo NVH ,"2,7", 10
 Têxtil Abril ,"3,6", 10
 AlBriggs ,"3,9", 10
 Transvip Transporte de Valores ,"3,6", 10
 Açaí Frooty ,"3,9", 10
 Fulan e Gonçalves Advogados Associados ,"2,6", 10
 Potenza Engenharia ,"3,6", 10
 Cyrela Commercial Properties ,"3,9", 9
 Arco Assessoria em Racionalização Construtiva ,"3,5", 9
 TeamCulture ,"4,4", 9
 Hospital A.C. Camargo ,"4,1", 9
 Araujo e Augusto Advogados e Associados ,"3,2", 9
 Grupo Bridge ,"4,8", 9
 Nurap Aprendizagem Profissional e Assistência Social ,"3,9", 9
 Site Blindado ,"3,2", 9
 Quatro K Têxtil ,"3,2", 9
 Finocchio & Ustra Advogados ,"3,1", 9
 Grão Espresso ,"3,3", 9
 IW Inglês ,"4,4", 9
 InfoMoney ,"4,0", 9
 Innocenti Advogados Associados ,"3,8", 9
 Wolpac ,"3,1", 9
 Grupo Colt Security ,"3,1", 9
 Tallento Engenharia ,"3,8", 9
 Kuadro ,"4,6", 9
 Projel Engenharia ,"4,1", 9
 Consórcio Maggi ,"3,4", 9
 Célere Intralogística ,"3,4", 9
 Brazul Transporte de Veículos ,"3,8", 9
 Kolekto ,"4,6", 9
 Conselho Regional de Medicina Veterinária do Estado de São Paulo (CRMV-SP) ,"3,6", 9
 Britech ,"3,1", 9
 Polimold ,"3,4", 9
 Asprev Assistência Previdenciária ,"3,0", 9
 Adin Marketing Digital ,"2,9", 9
 Empresa Brasileira de Energia Solar (EBES) ,"2,9", 9
 Central Surf ,"3,2", 9
 Tv Ômega ,"3,2", 9
 Tempo USS ,"3,4", 9
 Ecrel Contabilidade ,"2,5", 9
 Colégio Catamarã ,"3,6", 9
 Ação Informática ,"3,9", 9
 Emerson Network Power ,"3,7", 9
 Agência Carnaval ,"2,8", 9
 Tsa Brasil ,"2,8", 9
 Metrofile Brasil ,"3,0", 9
 NESS ,"3,5", 9
 Eguru ,"3,5", 9
 Prefeitura Municipal de Campo Limpo Paulista ,"2,5", 9
 VBMC Consultores ,"3,4", 9
 Indaiá Logística ,"3,9", 9
 EvoBooks ,"3,9", 9
 Trade Force Serviços EM Tecnologia SA ,"3,5", 9
 Praticare Desenvolvimento Empresarial ,"3,8", 9
 IntelCav ,"3,1", 9
 Eurotrials ,"3,7", 9
 moksha8 Pharmaceuticals ,"4,3", 9
 Digital Light ,"2,4", 8
 SETIS Automação e Sistemas ,"4,1", 8
 CBC Industrias Pesadas SA ,"3,7", 8
 Ongame ,"3,1", 8
 TEVEC ,"3,9", 8
 Superare ,"3,8", 8
 DAVID The Agency ,"3,6", 8
 Questtono ,"4,0", 8
 Modas Collins ,"2,9", 8
 Dias Carneiro Advogados ,"3,6", 8
 Acura Technologies ,"2,8", 8
 Paris 6 ,"3,3", 8
 Fattor ,"3,1", 8
 Arruda Munhoz Sociedade de Advogados ,"3,5", 8
 Leme Contábil ,"3,8", 8
 Escola Aviva ,"2,7", 8
 Discovery Communications ,"4,2", 8
 Dini Têxtil ,"2,9", 8
 Scarlat ,"3,2", 8
 Giga Atacado ,"4,2", 8
 Baraldi Melega Advogados ,"3,6", 8
 Fancold ,"4,0", 8
 AQIA Química Industrial ,"3,2", 8
 SkyOne Cloud Solutions ,"3,5", 8
" Arap, Nishi & Uyeda Advogados ","4,3", 8
 Grupo Evolve ,"3,2", 8
 J. Assy Apollo Agrícola Brasil ,"3,7", 8
 My Business Telecomunicações ,"3,7", 8
 CLP Liderança Pública ,"4,1", 8
 Tboom ,"3,0", 8
 Zocprint Serviços Gráficos ,"3,8", 8
" Inglez, Werneck, Ramos, Cury e Françolin Advogados ","4,1", 8
 Prime Cargo Logística Integrada ,"3,8", 8
 Namu ,"3,7", 8
 Associação Pinacoteca Arte e Cultura – APAC ,"3,2", 8
 Solutta Contábil ,"2,8", 8
 Enpavi ,"3,0", 8
 Memed ,"4,7", 8
 Rennov Serviços de Cobrança ,"3,4", 8
 Shcaira Advogados Associados ,"1,9", 8
 Batuque Promo ,"3,2", 8
 Pacer Transporte e Logística ,"3,8", 8
 Lifetime Investimentos ,"3,3", 8
 Drogamix ,"3,4", 8
 UZZO Pagamentos ,"4,9", 8
 Grupo Easytech ,"4,0", 8
 NET Telecomunicações de São Paulo ,"4,3", 8
 Paineiras ,"4,0", 8
 Bertini do Brasil ,"3,8", 8
 Empresa Metropolitana de Águas e Energia (EMAE) ,"4,0", 8
 Marchon Brasil ,"3,6", 8
 Grupo EMEDE ,"1,7", 8
 Cross Content ,"3,1", 8
 Credicard ,"3,8", 8
 Grupo Mendes ,"3,4", 8
 Lepok ,"3,4", 8
 Punch Seguros ,"3,3", 8
 Jairo Cândido Advogados Associados ,"3,7", 8
 Brascol ,"2,9", 8
 Pesquise Já ,"3,4", 8
 Faculdade Paulista de Pesquisa e Ensino Superior (FAPPES) ,"4,2", 8
 Photon Group ,"3,2", 8
 QMágico ,"4,1", 8
 ILS Cargo Group ,"2,0", 8
 People Pro ,"4,2", 8
 Cortesia Concreto ,"3,8", 8
 Somar Meteorologia ,"3,3", 8
 Dailus Cosméticos ,"3,6", 8
 Fundação FEAC ,"3,4", 8
 Fundação Professor Doutor Manoel Pedro Pimentel (FUNAP) ,"3,5", 8
 Hospital Santa Cecília - Intermédica ,"3,2", 8
 Archo Solutions ,"2,9", 8
 Látex São Roque ,"3,2", 8
 Clóvis Calçados ,"3,0", 8
 Nortene Plásticos ,"2,8", 8
 Prefeitura Municipal de Francisco Morato ,"3,6", 8
 Accordes Hotel ,"4,1", 8
 Achei Montador ,"3,5", 8
 Hipercon Terminais de Cargas ,"3,5", 8
 Tv Tribuna ,"3,5", 8
 Vidraria Anchieta ,"3,8", 8
 Instituto QualiBest ,"3,0", 8
 Ashtar Soluções Promocionais ,"3,3", 8
 Plessey Telecom ,"3,5", 8
 Concessionária Spmar ,"3,1", 8
 Uppertools ,"3,6", 8
 C&M Software ,"2,6", 8
 Emporium São Paulo ,"2,9", 8
 Colégio Petrópolis ,"3,7", 8
 Transportadora Translecchi ,"3,6", 8
 Grupo Unite ,"2,6", 8
 Sistema Metropolitano de Transportes (Metra) ,"4,3", 8
 Instituro de Pesos e Medidas do Estado de São Paulo (IPEM-SP) ,"3,4", 8
 A2ad ,"3,9", 8
 Papaiz ,"4,2", 8
 SP Alimentação ,"3,0", 8
 epay Brasil ,"3,9", 8
 Sergio k ,"2,9", 8
 Hospital Vida's ,"3,4", 8
 Corpus Saneamento ,"3,6", 8
 Complexo Hospitalar Municipal de São Bernardo do Campo ,"3,0", 8
 Saraiva Educação ,"3,2", 8
 Grupo Estrutural ,"3,2", 8
 Econocom Brazil ,"4,2", 8
 Connectcom Teleinformática ,"3,1", 8
 3corp Tecnology ,"2,8", 8
 META (Brazil) ,"2,8", 7
 Bourbon Convention Ibirapuera Hotel ,"4,4", 7
 Tilkian Marinelli Marrey Advogados ,"4,3", 7
 Martins Logística Internacional ,"3,6", 7
 The1 showroom ,"3,5", 7
 Ebazar.com.br ,"4,0", 7
 Supermercado Rossi New ,"3,4", 7
 Quinto Andar (Parceiros) ,"2,9", 7
 Compass Minerals ,"2,3", 7
 Pense Farma ,"1,4", 7
 Rápido Campinas ,"3,1", 7
 Escola da Vila ,"4,4", 7
 Abreu Manutenção Operação Industrial (AMOI) ,"3,2", 7
 SIN Implante ,"3,4", 7
 Prefeitura Municipal de Caçapava ,"2,8", 7
 Pacífico Log ,"2,5", 7
 Hipcom Informática ,"3,6", 7
 Polistampo Indústria Metalúrgica ,"2,6", 7
 Grupo Solpanamby ,"3,5", 7
 NextSoft ,"3,3", 7
 InCompanny ,"3,6", 7
 GloballVox Telecom ,"2,6", 7
 Espaço Acessórios ,"3,2", 7
 Silro ,"3,8", 7
 Coferly Cosmética ,"3,1", 7
 SP Merchan ,"4,1", 7
 Ponto Forte Construções & Empreendimentos ,"3,6", 7
 Viação Gato Preto ,"3,9", 7
 Sca Brasil ,"2,8", 7
 Diário Comércio Indústria e Serviços ,"3,3", 7
 Ativus ,"2,8", 7
 Grupo Armatek ,"3,8", 7
 Colégio Domus Sapientiae ,"3,5", 7
 Hemomed ,"4,0", 7
 Pet Care Centro Veterinário ,"2,3", 7
 Forusi ,"2,8", 7
 Faculdade Max Planck ,"2,7", 7
 RF Com ,"4,2", 7
 Metalúrgica Quasar ,"3,5", 7
 Laboratório Pasteur ,"4,0", 7
 Softcaps ,"3,3", 7
 Garage Inn Estacionamentos ,"3,2", 7
 Hospital e Maternidade Bartira ,"3,3", 7
 Ageplan ,"3,3", 7
 Solo Propaganda ,"3,9", 7
 Fabrima ,"2,8", 7
 Colégio Espírito Santo ,"3,6", 7
 EGA Solutions ,"3,2", 7
 Hábil Serviços ,"2,6", 7
 Higa Atacado ,"3,1", 7
 Magnaghi Friuli ,"3,0", 7
 Inovação GIS ,"1,4", 7
 NeoPlastic ,"4,0", 7
 Pointer Cielo ,"2,4", 7
 Rochamar ,"3,6", 7
 Nova Mix Alimentos ,"2,9", 7
 Moët Hennessy do Brasil ,"3,9", 7
 Agasus ,"2,9", 7
 Arnor Serafim Jr. Advogados Associados ,"3,4", 7
 Barilla Brasil ,"4,2", 7
 Datasist Informática ,"3,7", 7
 HAIDAR ,"3,5", 7
 Exército de salvacao ,"2,4", 7
 Elancers Empregos ,"3,5", 7
 RS Serviços de Portaria ,"3,4", 7
 Piccoloto Imóveis ,"3,6", 7
 Libermac ,"3,5", 7
 Motoman Robótica do Brasil ,"3,6", 7
 Mega Polo Moda ,"3,7", 7
 Mueller (Brazil) ,"3,8", 7
 E-Val Tecnologia ,"3,8", 7
 Construtora Fonseca & Mercadante ,"4,1", 7
 HUB Brasil ,"3,0", 7
 Rino Com ,"3,0", 7
 Polar Fix Produtos Hospitalares ,"2,6", 7
 LQDI ,"2,3", 7
 Telelok Locação de Móveis ,"2,9", 7
 Acert Online ,"1,7", 7
 Impala Cosméticos ,"4,1", 7
 Hospital Regional de Jundiaí ,"4,0", 7
 Hargos Recuperação de Crédito ,"2,1", 7
 Forseti ,"2,8", 7
 Somos Nuvem ,"2,8", 7
 Colégio Parthenon ,"2,6", 7
 Tec-Vidro ,"3,6", 7
 Sohovos ,"4,4", 7
 Oracon ,"2,8", 7
 Btp Soluções Para Mercado Movel ,"3,2", 7
 Bienal de São Paulo ,"3,4", 7
 Remer Villaça & Nogueira ,"4,0", 7
 Talentech Tecnologia Ltda ,"3,4", 7
 Instituto de Estudos Franceses e Europeus de São Paulo (IFESP) ,"3,9", 7
" ""Ariboni, Fabbri e Schmidt Sociedade de Advogados"" ","2,6", 7
 Henares Advogados ,"4,0", 7
 Myers do Brasil ,"2,7", 7
 Shopping Metrô Boulevard Tatuapé ,"3,3", 7
 FL Logística Brasil ,"3,9", 7
 Brancozulu ,"3,6", 7
 Agência AO5 ,"3,7", 7
 Trimix (Brazil) ,"2,1", 7
 CRS Brands ,"3,0", 7
 INPAO Dental ,"2,1", 7
 Boldfy ,"4,7", 7
 Grupo Certacon ,"3,0", 7
 Korn Traduções ,"3,8", 7
 Gapnet ,"3,6", 7
 Grupo Mix de Comunicação ,"3,5", 7
 Kemp Projetos e Gerenciamento ,"3,5", 7
 Grupo CDI Comunicação e Marketing ,"4,0", 7
 Asuris IT Solutions ,"3,1", 7
 Qipu Brasil ,"3,2", 7
 Prime Contact Center Brasil ,"3,5", 7
 Prol Editora Gráfica ,"4,0", 7
 SMS Tecnologia Eletrônica ,"3,1", 7
 Dispafilm ,"3,8", 7
 Micros-Fidelio ,"3,0", 7
 Terminal Exportador do Guarujá (TEG) ,"3,7", 7
 SIQ Systems ,"3,7", 7
 Eveo ,"2,4", 7
 Instituto Phorte Educação ,"3,4", 7
 Sustentech ,"2,4", 7
 Cursinho Maximize (Cursinho Henfil) ,"3,1", 7
 Verx Colsulting ,"2,9", 7
 Logimed ,"3,5", 7
 Geribello Engenharia ,"4,0", 7
 Expo Center Norte ,"3,3", 7
 Prefeitura Municipal de Vargem Grande Paulista ,"3,1", 7
 MHM Advogados ,"3,9", 7
 Ourinhos Hipermercado ,"3,3", 7
 Tesheiner Advogados ,"2,6", 7
 Brazil Dental ,"2,3", 7
 Competition Academia ,"3,3", 7
 Spaço In ,"3,0", 7
 Jetsoft ,"2,6", 7
 SinergyRH ,"3,0", 7
 TheAuberginePanda ,"4,1", 7
 Intertox ,"2,6", 7
 Hypnobox ,"3,8", 7
" S8,Sampa ","2,0", 7
 Conexão Sistemas de Prótese ,"2,8", 7
 QMC Telecom International ,"4,6", 7
 Alestis ,"3,1", 7
 Ginga ,"3,7", 7
 i9Life ,"4,4", 7
 E-Smart ,"4,0", 7
 MGS Consulting ,"4,1", 7
 Lattine Solutions ,"3,2", 7
 Ultrapan ,"3,3", 7
 Pieracciani ,"3,6", 7
 Codus Tecnologia ,"4,4", 7
 Câmara de Comércio Árabe Brasileira ,"3,1", 7
 Datora Telecom ,"3,5", 7
 Scup ,"4,6", 7
 Novacia ,"3,1", 7
 Advus ,"3,0", 6
 Lotten Eyes Oftalmologia ,"2,8", 6
 Beeleads ,"3,1", 6
 Compass Consultoria ,"3,2", 6
 Brain WEB ,"4,3", 6
 Zolkin ,"3,8", 6
 Mezzo Planejamento ,"3,9", 6
 fmcom ,"3,7", 6
 Juveniz Jr. Rolim Ferraz Advogados ,"3,6", 6
 SUGOI Construtora ,"2,9", 6
 Grupo King ,"3,4", 6
 Ameplan ,"2,8", 6
 Soway ,"3,3", 6
 Voxel Digital ,"4,3", 6
 Hexait ,"3,0", 6
 Ápice Artes Gráficas ,"3,3", 6
 QuatroK Têxtil ,"3,2", 6
 Sanval ,"2,2", 6
 Dal Pozzo Advogados ,"4,0", 6
 Senador Contábil ,"3,1", 6
 Conam Consultoria em Administração Municipal ,"2,3", 6
 AGSI Sistemas ,"3,0", 6
 Gotcha Comunicação ,"2,1", 6
 Gail Revestimentos ,"4,0", 6
 EAI Brasil ,"3,3", 6
 TokTake ,"2,2", 6
 Tesouro Laser ,"3,1", 6
 Medral Geotecnologias ,"3,3", 6
 BR Motorsport ,"3,3", 6
 Instituto Civitas ,"3,6", 6
 Cantaloop ,"3,7", 6
 Federação Paulista de Futebol ,"4,4", 6
 Tennis Express (Brazil) ,"3,7", 6
 Core Group Brasil ,"2,6", 6
 Cabot Brasil ,"4,0", 6
 Varian Medical Systems ,"4,1", 6
 CoBlue Brasil ,"4,1", 6
 Fides Brasil ,"2,9", 6
 JWM Transportes ,"1,6", 6
 Custódio Lima Advogados ,"4,0", 6
 Sistenge Soluções Especiais ,"4,1", 6
 Degradé Confecções Porto Feliz ,"2,8", 6
 Faculdade de Direito de São Bernardo do Campo ,"3,7", 6
 Cunha ricca Advogados Associados ,"3,4", 6
 BCF Solutions ,"3,3", 6
 Argon Informática ,"4,1", 6
 Ponto de Criação ,"2,7", 6
 Jonfra Automação ,"3,3", 6
 Argo IT ,"3,4", 6
 Arconvert Brasil ,"4,0", 6
 Up2Place Digital ,"1,8", 6
 Hospital Guilherme Álvaro ,"3,0", 6
 Brand Têxtil ,"2,1", 6
 Cerveira Advogados Associados ,"2,2", 6
 Prefeitura Municipal de Amparo ,"3,1", 6
 Transurc ,"3,0", 6
 Produtora 7 ,"3,6", 6
 Quimis Aparelhos Científicos ,"2,7", 6
 Caraigá ,"3,9", 6
 Virta Comunicação ,"3,4", 6
 Ecopistas ,"3,6", 6
 Hosher ,"3,2", 6
 Líder Brinquedos ,"2,6", 6
 Medialand ,"3,9", 6
 Cuponomia ,"4,7", 6
 Franco Montoro e Peixoto Advogados Associados ,"3,5", 6
 Grupo Aragon ,"3,2", 6
 Museu de Arte de São Paulo Assis Chateaubriand (Masp) ,"2,9", 6
 Grupo Pigma ,"3,6", 6
 toPlus ,"4,2", 6
 Urban Systems Brasil ,"2,9", 6
 PSM Com Professional Services Management Informática ,"4,5", 6
 Bio2 Organic ,"1,5", 6
 Simetrica Engenharia ,"3,4", 6
 Tugarê ,"3,4", 6
 Fundação Criança ,"2,9", 6
 Labor Import ,"3,7", 6
 Lobtec ,"4,0", 6
 Madel Madeiras ,"3,9", 6
 Fundação Memorial da América Latina ,"3,8", 6
 Neosolar Energia ,"4,3", 6
 Fair Corretora ,"3,6", 6
 Exto Incoprporação e Construção ,"3,7", 6
 Faculdade FNC ,"1,8", 6
 Esquadgroup ,"3,3", 6
 Cunzolo ,"3,6", 6
 Centro Cultural São Paulo ,"4,5", 6
 Conforlab ,"4,5", 6
 Quality Soluções em Alimentação ,"3,5", 6
 Logus Infomática ,"2,4", 6
 System Marketing ,"2,9", 6
 Hospital Alpha Med ,"3,1", 6
 Desejo Atendido ,"4,2", 6
 Matchbox Brasil ,"4,5", 6
 G&A Comunicação Corporativa ,"2,5", 6
 4 All Comunicação ,"1,5", 6
 Colégio São Domingos Sávio ,"1,9", 6
 Valejet ,"2,8", 6
 Tünkers Brasil ,"4,2", 6
 iZi Finance ,"4,3", 6
 2º Oficial de Registro de Imóveis de Campinas ,"3,1", 6
 Campedelli e Marques Advogados Associados ,"3,0", 6
 Arpejo ,"3,2", 6
 Garage IM ,"4,1", 6
 Guarucoop ,"3,7", 6
 New Kar Distribuidora de Peças ,"2,3", 6
 NR-7 ,"3,2", 6
 Padaria Real Sorocaba ,"3,5", 6
 Pro Matre Paulista ,"2,8", 6
 Labsoft Tecnologia ,"3,5", 6
 Cursinho da Poli-USP ,"4,6", 6
 Célebre Corretora ,"3,6", 6
